TeamName,MatchID,Opponent,PointsFor,PointsAgainst,Tackle%,NumTackles,Passes,Meters,Breaks,DropGoals,Yellows,Reds
Japan,25290,Russia,30,10,0.86,134.0,183.0,653.0,16.0,0,0,0
Russia,25290,Japan,10,30,0.75,144.0,101.0,289.0,11.0,0,0,0
Australia,25291,Fiji,39,21,0.77,79.0,167.0,490.0,8.0,0,0,0
Fiji,25291,Australia,21,39,0.81,170.0,91.0,341.0,7.0,0,1.0,0
France,25292,Argentina,23,21,0.91,123.0,110.0,435.0,15.0,1.0,0,0
Argentina,25292,France,21,23,0.81,105.0,113.0,308.0,7.0,0,0,0
New Zealand,25293,South Africa,23,13,0.82,126.0,143.0,367.0,12.0,0,0,0
South Africa,25293,New Zealand,13,23,0.76,108.0,119.0,370.0,7.0,1.0,0,0
Italy,25294,Namibia,47,22,0.9,95.0,141.0,537.0,22.0,0,0,0
Namibia,25294,Italy,22,47,0.82,127.0,91.0,317.0,7.0,0,0,0
Ireland,25295,Scotland,27,3,0.94,135.0,95.0,393.0,13.0,0,1.0,0
Scotland,25295,Ireland,3,27,0.91,163.0,180.0,301.0,3.0,0,0,0
England,25296,Tonga,35,3,0.87,128.0,147.0,654.0,16.0,0,0,0
Tonga,25296,England,3,35,0.81,121.0,106.0,199.0,1.0,0,0,0
Wales,25297,Georgia,43,14,0.85,88.0,147.0,483.0,15.0,0,0,0
Georgia,25297,Wales,14,43,0.82,121.0,91.0,253.0,5.0,0,1.0,0
Russia,25298,Samoa,9,34,0.7,101.0,140.0,270.0,4.0,1.0,1.0,0
Samoa,25298,Russia,34,9,0.88,167.0,132.0,519.0,13.0,0,2.0,0
Fiji,25299,Uruguay,27,30,0.85,95.0,253.0,746.0,21.0,0,0,0
Uruguay,25299,Fiji,30,27,0.79,181.0,98.0,288.0,5.0,0,0,0
Italy,25300,Canada,48,7,0.89,114.0,129.0,667.0,17.0,0,0,0
Canada,25300,Italy,7,48,0.72,113.0,123.0,428.0,15.0,0,1.0,0
England,25301,USA,45,7,0.77,61.0,221.0,639.0,24.0,0,0,0
USA,25301,England,7,45,0.76,169.0,57.0,233.0,4.0,0,0,1.0
